barcode,cluster,true_cell_type
CELL_00130,0,CD4_T_cell
CELL_00131,0,CD4_T_cell
CELL_00132,0,CD4_T_cell
CELL_00133,0,CD4_T_cell
CELL_00134,0,CD4_T_cell
CELL_00135,0,CD4_T_cell
CELL_00136,0,CD4_T_cell
CELL_00137,0,CD4_T_cell
CELL_00138,0,CD4_T_cell
CELL_00139,0,CD4_T_cell
CELL_00140,0,CD4_T_cell
CELL_00141,0,CD4_T_cell
CELL_00142,0,CD4_T_cell
CELL_00143,0,CD4_T_cell
CELL_00144,0,CD4_T_cell
CELL_00145,0,CD4_T_cell
CELL_00146,0,CD4_T_cell
CELL_00147,0,CD4_T_cell
CELL_00148,0,CD4_T_cell
CELL_00149,0,CD4_T_cell
CELL_00150,0,CD4_T_cell
CELL_00151,0,CD4_T_cell
CELL_00152,0,CD4_T_cell
CELL_00153,0,CD4_T_cell
CELL_00154,0,CD4_T_cell
CELL_00155,0,CD4_T_cell
CELL_00156,0,CD4_T_cell
CELL_00157,0,CD4_T_cell
CELL_00158,0,CD4_T_cell
CELL_00159,0,CD4_T_cell
CELL_00160,0,CD4_T_cell
CELL_00161,0,CD4_T_cell
CELL_00162,0,CD4_T_cell
CELL_00163,0,CD4_T_cell
CELL_00164,0,CD4_T_cell
CELL_00165,0,CD4_T_cell
CELL_00166,0,CD4_T_cell
CELL_00167,0,CD4_T_cell
CELL_00168,0,CD4_T_cell
CELL_00169,0,CD4_T_cell
CELL_00170,0,CD4_T_cell
CELL_00171,0,CD4_T_cell
CELL_00172,0,CD4_T_cell
CELL_00173,0,CD4_T_cell
CELL_00174,0,CD4_T_cell
CELL_00175,0,CD4_T_cell
CELL_00176,0,CD4_T_cell
CELL_00177,0,CD4_T_cell
CELL_00178,0,CD4_T_cell
CELL_00179,0,CD4_T_cell
CELL_00180,0,CD4_T_cell
CELL_00181,0,CD4_T_cell
CELL_00182,0,CD4_T_cell
CELL_00183,0,CD4_T_cell
CELL_00184,0,CD4_T_cell
CELL_00185,0,CD4_T_cell
CELL_00186,0,CD4_T_cell
CELL_00187,0,CD4_T_cell
CELL_00188,0,CD4_T_cell
CELL_00189,0,CD4_T_cell
CELL_00190,0,CD4_T_cell
CELL_00191,0,CD4_T_cell
CELL_00192,0,CD4_T_cell
CELL_00193,0,CD4_T_cell
CELL_00194,0,CD4_T_cell
CELL_00195,0,CD4_T_cell
CELL_00196,0,CD4_T_cell
CELL_00197,0,CD4_T_cell
CELL_00198,0,CD4_T_cell
CELL_00199,0,CD4_T_cell
CELL_00200,0,CD4_T_cell
CELL_00201,0,CD4_T_cell
CELL_00202,0,CD4_T_cell
CELL_00203,0,CD4_T_cell
CELL_00204,0,CD4_T_cell
CELL_00205,0,CD4_T_cell
CELL_00206,0,CD4_T_cell
CELL_00207,0,CD4_T_cell
CELL_00208,0,CD4_T_cell
CELL_00209,0,CD4_T_cell
CELL_00210,0,CD4_T_cell
CELL_00211,0,CD4_T_cell
CELL_00212,0,CD4_T_cell
CELL_00213,0,CD4_T_cell
CELL_00214,0,CD4_T_cell
CELL_00215,0,CD4_T_cell
CELL_00216,0,CD4_T_cell
CELL_00217,0,CD4_T_cell
CELL_00218,0,CD4_T_cell
CELL_00219,0,CD4_T_cell
CELL_00220,0,CD4_T_cell
CELL_00221,0,CD4_T_cell
CELL_00222,0,CD4_T_cell
CELL_00223,0,CD4_T_cell
CELL_00224,0,CD4_T_cell
CELL_00225,0,CD4_T_cell
CELL_00226,0,CD4_T_cell
CELL_00227,0,CD4_T_cell
CELL_00228,0,CD4_T_cell
CELL_00229,0,CD4_T_cell
CELL_00230,0,CD4_T_cell
CELL_00231,0,CD4_T_cell
CELL_00232,0,CD4_T_cell
CELL_00233,0,CD4_T_cell
CELL_00234,0,CD4_T_cell
CELL_00235,0,CD4_T_cell
CELL_00236,0,CD4_T_cell
CELL_00237,0,CD4_T_cell
CELL_00238,0,CD4_T_cell
CELL_00239,0,CD4_T_cell
CELL_00240,0,CD4_T_cell
CELL_00241,0,CD4_T_cell
CELL_00242,0,CD4_T_cell
CELL_00243,0,CD4_T_cell
CELL_00244,0,CD4_T_cell
CELL_00245,0,CD4_T_cell
CELL_00246,0,CD4_T_cell
CELL_00247,0,CD4_T_cell
CELL_00248,0,CD4_T_cell
CELL_00249,0,CD4_T_cell
CELL_00250,0,CD4_T_cell
CELL_00251,0,CD4_T_cell
CELL_00252,0,CD4_T_cell
CELL_00253,0,CD4_T_cell
CELL_00254,0,CD4_T_cell
CELL_00255,0,CD4_T_cell
CELL_00256,0,CD4_T_cell
CELL_00257,0,CD4_T_cell
CELL_00258,0,CD4_T_cell
CELL_00259,0,CD4_T_cell
CELL_00260,0,CD4_T_cell
CELL_00261,0,CD4_T_cell
CELL_00262,0,CD4_T_cell
CELL_00263,0,CD4_T_cell
CELL_00264,0,CD4_T_cell
CELL_00265,0,CD4_T_cell
CELL_00266,0,CD4_T_cell
CELL_00267,0,CD4_T_cell
CELL_00268,0,CD4_T_cell
CELL_00269,0,CD4_T_cell
CELL_00270,0,CD4_T_cell
CELL_00271,0,CD4_T_cell
CELL_00272,0,CD4_T_cell
CELL_00273,0,CD4_T_cell
CELL_00274,0,CD4_T_cell
CELL_00275,0,CD4_T_cell
CELL_00276,0,CD4_T_cell
CELL_00277,0,CD4_T_cell
CELL_00278,0,CD4_T_cell
CELL_00279,0,CD4_T_cell
CELL_00280,0,CD4_T_cell
CELL_00281,0,CD4_T_cell
CELL_00282,0,CD4_T_cell
CELL_00283,0,CD4_T_cell
CELL_00284,0,CD4_T_cell
CELL_00285,0,CD4_T_cell
CELL_00286,0,CD4_T_cell
CELL_00287,0,CD4_T_cell
CELL_00288,0,CD4_T_cell
CELL_00289,0,CD4_T_cell
CELL_00290,0,CD4_T_cell
CELL_00291,0,CD4_T_cell
CELL_00292,0,CD4_T_cell
CELL_00293,0,CD4_T_cell
CELL_00294,0,CD4_T_cell
CELL_00295,0,CD4_T_cell
CELL_00296,0,CD4_T_cell
CELL_00297,0,CD4_T_cell
CELL_00298,0,CD4_T_cell
CELL_00299,0,CD4_T_cell
CELL_00300,0,CD4_T_cell
CELL_00301,0,CD4_T_cell
CELL_00302,0,CD4_T_cell
CELL_00303,0,CD4_T_cell
CELL_00304,0,CD4_T_cell
CELL_00305,0,CD4_T_cell
CELL_00306,0,CD4_T_cell
CELL_00307,0,CD4_T_cell
CELL_00308,0,CD4_T_cell
CELL_00309,0,CD4_T_cell
CELL_00310,0,CD4_T_cell
CELL_00311,0,CD4_T_cell
CELL_00312,0,CD4_T_cell
CELL_00313,0,CD4_T_cell
CELL_00314,0,CD4_T_cell
CELL_00315,0,CD4_T_cell
CELL_00316,0,CD4_T_cell
CELL_00317,0,CD4_T_cell
CELL_00318,0,CD4_T_cell
CELL_00319,0,CD4_T_cell
CELL_00320,0,CD4_T_cell
CELL_00321,0,CD4_T_cell
CELL_00322,0,CD4_T_cell
CELL_00323,0,CD4_T_cell
CELL_00324,0,CD4_T_cell
CELL_00325,0,CD4_T_cell
CELL_00326,0,CD4_T_cell
CELL_00327,0,CD4_T_cell
CELL_00328,0,CD4_T_cell
CELL_00329,0,CD4_T_cell
CELL_00330,0,CD4_T_cell
CELL_00331,0,CD4_T_cell
CELL_00332,0,CD4_T_cell
CELL_00333,0,CD4_T_cell
CELL_00334,0,CD4_T_cell
CELL_00335,0,CD4_T_cell
CELL_00336,0,CD4_T_cell
CELL_00337,0,CD4_T_cell
CELL_00338,0,CD4_T_cell
CELL_00339,0,CD4_T_cell
CELL_00340,0,CD4_T_cell
CELL_00341,0,CD4_T_cell
CELL_00342,0,CD4_T_cell
CELL_00343,0,CD4_T_cell
CELL_00344,0,CD4_T_cell
CELL_00345,0,CD4_T_cell
CELL_00346,0,CD4_T_cell
CELL_00347,0,CD4_T_cell
CELL_00348,0,CD4_T_cell
CELL_00349,0,CD4_T_cell
CELL_00350,2,CD8_T_cell
CELL_00351,2,CD8_T_cell
CELL_00352,2,CD8_T_cell
CELL_00353,2,CD8_T_cell
CELL_00354,2,CD8_T_cell
CELL_00355,2,CD8_T_cell
CELL_00356,2,CD8_T_cell
CELL_00357,2,CD8_T_cell
CELL_00358,2,CD8_T_cell
CELL_00359,2,CD8_T_cell
CELL_00360,2,CD8_T_cell
CELL_00361,2,CD8_T_cell
CELL_00362,2,CD8_T_cell
CELL_00363,2,CD8_T_cell
CELL_00364,2,CD8_T_cell
CELL_00365,2,CD8_T_cell
CELL_00366,2,CD8_T_cell
CELL_00367,2,CD8_T_cell
CELL_00368,2,CD8_T_cell
CELL_00369,2,CD8_T_cell
CELL_00370,2,CD8_T_cell
CELL_00371,2,CD8_T_cell
CELL_00372,2,CD8_T_cell
CELL_00373,2,CD8_T_cell
CELL_00374,2,CD8_T_cell
CELL_00375,2,CD8_T_cell
CELL_00376,2,CD8_T_cell
CELL_00377,2,CD8_T_cell
CELL_00378,2,CD8_T_cell
CELL_00379,2,CD8_T_cell
CELL_00380,2,CD8_T_cell
CELL_00381,2,CD8_T_cell
CELL_00382,2,CD8_T_cell
CELL_00383,2,CD8_T_cell
CELL_00384,2,CD8_T_cell
CELL_00385,2,CD8_T_cell
CELL_00386,2,CD8_T_cell
CELL_00387,2,CD8_T_cell
CELL_00388,2,CD8_T_cell
CELL_00389,2,CD8_T_cell
CELL_00390,2,CD8_T_cell
CELL_00391,2,CD8_T_cell
CELL_00392,2,CD8_T_cell
CELL_00393,2,CD8_T_cell
CELL_00394,2,CD8_T_cell
CELL_00395,2,CD8_T_cell
CELL_00396,2,CD8_T_cell
CELL_00397,2,CD8_T_cell
CELL_00398,2,CD8_T_cell
CELL_00399,2,CD8_T_cell
CELL_00400,2,CD8_T_cell
CELL_00401,2,CD8_T_cell
CELL_00402,2,CD8_T_cell
CELL_00403,2,CD8_T_cell
CELL_00404,2,CD8_T_cell
CELL_00405,2,CD8_T_cell
CELL_00406,2,CD8_T_cell
CELL_00407,2,CD8_T_cell
CELL_00408,2,CD8_T_cell
CELL_00409,2,CD8_T_cell
CELL_00410,2,CD8_T_cell
CELL_00411,2,CD8_T_cell
CELL_00412,2,CD8_T_cell
CELL_00413,2,CD8_T_cell
CELL_00414,2,CD8_T_cell
CELL_00415,2,CD8_T_cell
CELL_00416,2,CD8_T_cell
CELL_00417,2,CD8_T_cell
CELL_00418,2,CD8_T_cell
CELL_00419,2,CD8_T_cell
CELL_00420,2,CD8_T_cell
CELL_00421,2,CD8_T_cell
CELL_00422,2,CD8_T_cell
CELL_00423,2,CD8_T_cell
CELL_00424,2,CD8_T_cell
CELL_00425,2,CD8_T_cell
CELL_00426,2,CD8_T_cell
CELL_00427,2,CD8_T_cell
CELL_00428,2,CD8_T_cell
CELL_00429,2,CD8_T_cell
CELL_00430,2,CD8_T_cell
CELL_00431,2,CD8_T_cell
CELL_00432,2,CD8_T_cell
CELL_00433,2,CD8_T_cell
CELL_00434,2,CD8_T_cell
CELL_00435,2,CD8_T_cell
CELL_00436,2,CD8_T_cell
CELL_00437,2,CD8_T_cell
CELL_00438,2,CD8_T_cell
CELL_00439,2,CD8_T_cell
CELL_00440,2,CD8_T_cell
CELL_00441,2,CD8_T_cell
CELL_00442,2,CD8_T_cell
CELL_00443,2,CD8_T_cell
CELL_00444,2,CD8_T_cell
CELL_00445,2,CD8_T_cell
CELL_00446,2,CD8_T_cell
CELL_00447,2,CD8_T_cell
CELL_00448,2,CD8_T_cell
CELL_00449,2,CD8_T_cell
CELL_00450,2,CD8_T_cell
CELL_00451,2,CD8_T_cell
CELL_00452,2,CD8_T_cell
CELL_00453,2,CD8_T_cell
CELL_00454,2,CD8_T_cell
CELL_00455,2,CD8_T_cell
CELL_00456,2,CD8_T_cell
CELL_00457,2,CD8_T_cell
CELL_00458,2,CD8_T_cell
CELL_00459,2,CD8_T_cell
CELL_00460,2,CD8_T_cell
CELL_00461,2,CD8_T_cell
CELL_00462,2,CD8_T_cell
CELL_00463,2,CD8_T_cell
CELL_00464,2,CD8_T_cell
CELL_00465,2,CD8_T_cell
CELL_00466,2,CD8_T_cell
CELL_00467,2,CD8_T_cell
CELL_00468,2,CD8_T_cell
CELL_00469,2,CD8_T_cell
CELL_00470,2,CD8_T_cell
CELL_00471,2,CD8_T_cell
CELL_00472,2,CD8_T_cell
CELL_00473,2,CD8_T_cell
CELL_00474,2,CD8_T_cell
CELL_00475,2,CD8_T_cell
CELL_00476,2,CD8_T_cell
CELL_00477,2,CD8_T_cell
CELL_00478,2,CD8_T_cell
CELL_00479,2,CD8_T_cell
CELL_00480,2,CD8_T_cell
CELL_00481,2,CD8_T_cell
CELL_00482,2,CD8_T_cell
CELL_00483,2,CD8_T_cell
CELL_00484,2,CD8_T_cell
CELL_00485,2,CD8_T_cell
CELL_00486,2,CD8_T_cell
CELL_00487,2,CD8_T_cell
CELL_00488,2,CD8_T_cell
CELL_00489,2,CD8_T_cell
CELL_00490,2,CD8_T_cell
CELL_00491,2,CD8_T_cell
CELL_00492,2,CD8_T_cell
CELL_00493,2,CD8_T_cell
CELL_00494,2,CD8_T_cell
CELL_00495,2,CD8_T_cell
CELL_00496,2,CD8_T_cell
CELL_00497,2,CD8_T_cell
CELL_00498,2,CD8_T_cell
CELL_00499,2,CD8_T_cell
CELL_00500,2,CD8_T_cell
CELL_00501,2,CD8_T_cell
CELL_00502,2,CD8_T_cell
CELL_00503,2,CD8_T_cell
CELL_00504,2,CD8_T_cell
CELL_00505,2,CD8_T_cell
CELL_00506,2,CD8_T_cell
CELL_00507,2,CD8_T_cell
CELL_00508,2,CD8_T_cell
CELL_00509,2,CD8_T_cell
CELL_00510,2,CD8_T_cell
CELL_00511,2,CD8_T_cell
CELL_00512,2,CD8_T_cell
CELL_00513,2,CD8_T_cell
CELL_00514,2,CD8_T_cell
CELL_00515,2,CD8_T_cell
CELL_00516,2,CD8_T_cell
CELL_00517,2,CD8_T_cell
CELL_00518,2,CD8_T_cell
CELL_00519,2,CD8_T_cell
CELL_00520,2,CD8_T_cell
CELL_00521,2,CD8_T_cell
CELL_00522,2,CD8_T_cell
CELL_00523,2,CD8_T_cell
CELL_00524,2,CD8_T_cell
CELL_00525,2,CD8_T_cell
CELL_00526,2,CD8_T_cell
CELL_00527,2,CD8_T_cell
CELL_00528,2,CD8_T_cell
CELL_00529,2,CD8_T_cell
CELL_00530,2,CD8_T_cell
CELL_00531,2,CD8_T_cell
CELL_00532,2,CD8_T_cell
CELL_00533,2,CD8_T_cell
CELL_00534,2,CD8_T_cell
CELL_00535,2,CD8_T_cell
CELL_00536,2,CD8_T_cell
CELL_00537,2,CD8_T_cell
CELL_00538,2,CD8_T_cell
CELL_00539,2,CD8_T_cell
CELL_00540,2,CD8_T_cell
CELL_00541,2,CD8_T_cell
CELL_00542,2,CD8_T_cell
CELL_00543,2,CD8_T_cell
CELL_00544,2,CD8_T_cell
CELL_00545,2,CD8_T_cell
CELL_00546,2,CD8_T_cell
CELL_00547,2,CD8_T_cell
CELL_00548,2,CD8_T_cell
CELL_00549,2,CD8_T_cell
CELL_00550,2,CD8_T_cell
CELL_00551,2,CD8_T_cell
CELL_00552,2,CD8_T_cell
CELL_00553,2,CD8_T_cell
CELL_00554,2,CD8_T_cell
CELL_00555,2,CD8_T_cell
CELL_00556,2,CD8_T_cell
CELL_00557,2,CD8_T_cell
CELL_00558,2,CD8_T_cell
CELL_00559,2,CD8_T_cell
CELL_00560,2,CD8_T_cell
CELL_00561,2,CD8_T_cell
CELL_00562,2,CD8_T_cell
CELL_00563,2,CD8_T_cell
CELL_00564,2,CD8_T_cell
CELL_00565,2,CD8_T_cell
CELL_00566,2,CD8_T_cell
CELL_00567,2,CD8_T_cell
CELL_00568,2,CD8_T_cell
CELL_00569,2,CD8_T_cell
CELL_00570,2,CD8_T_cell
CELL_00571,2,CD8_T_cell
CELL_00572,2,CD8_T_cell
CELL_00573,2,CD8_T_cell
CELL_00574,2,CD8_T_cell
CELL_00575,2,CD8_T_cell
CELL_00576,2,CD8_T_cell
CELL_00577,2,CD8_T_cell
CELL_00578,2,CD8_T_cell
CELL_00579,2,CD8_T_cell
CELL_00580,2,CD8_T_cell
CELL_00581,2,CD8_T_cell
CELL_00582,2,CD8_T_cell
CELL_00583,2,CD8_T_cell
CELL_00584,2,CD8_T_cell
CELL_00585,2,CD8_T_cell
CELL_00586,2,CD8_T_cell
CELL_00587,2,CD8_T_cell
CELL_00588,2,CD8_T_cell
CELL_00589,2,CD8_T_cell
CELL_00590,2,CD8_T_cell
CELL_00591,2,CD8_T_cell
CELL_00592,2,CD8_T_cell
CELL_00593,2,CD8_T_cell
CELL_00594,2,CD8_T_cell
CELL_00595,2,CD8_T_cell
CELL_00596,2,CD8_T_cell
CELL_00597,2,CD8_T_cell
CELL_00598,2,CD8_T_cell
CELL_00599,2,CD8_T_cell
CELL_00600,2,CD8_T_cell
CELL_00601,2,CD8_T_cell
CELL_00602,2,CD8_T_cell
CELL_00603,2,CD8_T_cell
CELL_00604,2,CD8_T_cell
CELL_00605,2,CD8_T_cell
CELL_00606,2,CD8_T_cell
CELL_00607,2,CD8_T_cell
CELL_00608,2,CD8_T_cell
CELL_00609,2,CD8_T_cell
CELL_00610,2,CD8_T_cell
CELL_00611,2,CD8_T_cell
CELL_00612,2,CD8_T_cell
CELL_00613,2,CD8_T_cell
CELL_00614,2,CD8_T_cell
CELL_00615,2,CD8_T_cell
CELL_00616,2,CD8_T_cell
CELL_00617,2,CD8_T_cell
CELL_00618,2,CD8_T_cell
CELL_00619,2,CD8_T_cell
CELL_00620,2,CD8_T_cell
CELL_00621,2,CD8_T_cell
CELL_00622,2,CD8_T_cell
CELL_00623,2,CD8_T_cell
CELL_00624,2,CD8_T_cell
CELL_00625,2,CD8_T_cell
CELL_00626,2,CD8_T_cell
CELL_00627,2,CD8_T_cell
CELL_00628,2,CD8_T_cell
CELL_00629,2,CD8_T_cell
CELL_00630,3,B_cell
CELL_00631,3,B_cell
CELL_00632,3,B_cell
CELL_00633,3,B_cell
CELL_00634,3,B_cell
CELL_00635,3,B_cell
CELL_00636,3,B_cell
CELL_00637,3,B_cell
CELL_00638,3,B_cell
CELL_00639,3,B_cell
CELL_00640,3,B_cell
CELL_00641,3,B_cell
CELL_00642,3,B_cell
CELL_00643,3,B_cell
CELL_00644,3,B_cell
CELL_00645,3,B_cell
CELL_00646,3,B_cell
CELL_00647,3,B_cell
CELL_00648,3,B_cell
CELL_00649,3,B_cell
CELL_00650,3,B_cell
CELL_00651,3,B_cell
CELL_00652,3,B_cell
CELL_00653,3,B_cell
CELL_00654,3,B_cell
CELL_00655,3,B_cell
CELL_00656,3,B_cell
CELL_00657,3,B_cell
CELL_00658,3,B_cell
CELL_00659,3,B_cell
CELL_00660,3,B_cell
CELL_00661,3,B_cell
CELL_00662,3,B_cell
CELL_00663,3,B_cell
CELL_00664,3,B_cell
CELL_00665,3,B_cell
CELL_00666,3,B_cell
CELL_00667,3,B_cell
CELL_00668,3,B_cell
CELL_00669,3,B_cell
CELL_00670,3,B_cell
CELL_00671,3,B_cell
CELL_00672,3,B_cell
CELL_00673,3,B_cell
CELL_00674,3,B_cell
CELL_00675,3,B_cell
CELL_00676,3,B_cell
CELL_00677,3,B_cell
CELL_00678,3,B_cell
CELL_00679,3,B_cell
CELL_00680,3,B_cell
CELL_00681,3,B_cell
CELL_00682,3,B_cell
CELL_00683,3,B_cell
CELL_00684,3,B_cell
CELL_00685,3,B_cell
CELL_00686,3,B_cell
CELL_00687,3,B_cell
CELL_00688,3,B_cell
CELL_00689,3,B_cell
CELL_00690,3,B_cell
CELL_00691,3,B_cell
CELL_00692,3,B_cell
CELL_00693,3,B_cell
CELL_00694,3,B_cell
CELL_00695,3,B_cell
CELL_00696,3,B_cell
CELL_00697,3,B_cell
CELL_00698,3,B_cell
CELL_00699,3,B_cell
CELL_00700,3,B_cell
CELL_00701,3,B_cell
CELL_00702,3,B_cell
CELL_00703,3,B_cell
CELL_00704,3,B_cell
CELL_00705,3,B_cell
CELL_00706,3,B_cell
CELL_00707,3,B_cell
CELL_00708,3,B_cell
CELL_00709,3,B_cell
CELL_00710,3,B_cell
CELL_00711,3,B_cell
CELL_00712,3,B_cell
CELL_00713,3,B_cell
CELL_00714,3,B_cell
CELL_00715,3,B_cell
CELL_00716,3,B_cell
CELL_00717,3,B_cell
CELL_00718,3,B_cell
CELL_00719,3,B_cell
CELL_00720,3,B_cell
CELL_00721,3,B_cell
CELL_00722,3,B_cell
CELL_00723,3,B_cell
CELL_00724,3,B_cell
CELL_00725,3,B_cell
CELL_00726,3,B_cell
CELL_00727,3,B_cell
CELL_00728,3,B_cell
CELL_00729,3,B_cell
CELL_00730,3,B_cell
CELL_00731,3,B_cell
CELL_00732,3,B_cell
CELL_00733,3,B_cell
CELL_00734,3,B_cell
CELL_00735,3,B_cell
CELL_00736,3,B_cell
CELL_00737,3,B_cell
CELL_00738,3,B_cell
CELL_00739,3,B_cell
CELL_00740,3,B_cell
CELL_00741,3,B_cell
CELL_00742,3,B_cell
CELL_00743,3,B_cell
CELL_00744,3,B_cell
CELL_00745,3,B_cell
CELL_00746,3,B_cell
CELL_00747,3,B_cell
CELL_00748,3,B_cell
CELL_00749,3,B_cell
CELL_00750,3,B_cell
CELL_00751,3,B_cell
CELL_00752,3,B_cell
CELL_00753,3,B_cell
CELL_00754,3,B_cell
CELL_00755,3,B_cell
CELL_00756,3,B_cell
CELL_00757,3,B_cell
CELL_00758,3,B_cell
CELL_00759,3,B_cell
CELL_00760,3,B_cell
CELL_00761,3,B_cell
CELL_00762,3,B_cell
CELL_00763,3,B_cell
CELL_00764,3,B_cell
CELL_00765,3,B_cell
CELL_00766,3,B_cell
CELL_00767,3,B_cell
CELL_00768,3,B_cell
CELL_00769,3,B_cell
CELL_00770,3,B_cell
CELL_00771,3,B_cell
CELL_00772,3,B_cell
CELL_00773,3,B_cell
CELL_00774,3,B_cell
CELL_00775,3,B_cell
CELL_00776,3,B_cell
CELL_00777,3,B_cell
CELL_00778,3,B_cell
CELL_00779,3,B_cell
CELL_00780,3,B_cell
CELL_00781,3,B_cell
CELL_00782,3,B_cell
CELL_00783,3,B_cell
CELL_00784,3,B_cell
CELL_00785,3,B_cell
CELL_00786,3,B_cell
CELL_00787,3,B_cell
CELL_00788,3,B_cell
CELL_00789,3,B_cell
CELL_00790,3,B_cell
CELL_00791,3,B_cell
CELL_00792,3,B_cell
CELL_00793,3,B_cell
CELL_00794,3,B_cell
CELL_00795,3,B_cell
CELL_00796,3,B_cell
CELL_00797,3,B_cell
CELL_00798,3,B_cell
CELL_00799,3,B_cell
CELL_00800,3,B_cell
CELL_00801,3,B_cell
CELL_00802,3,B_cell
CELL_00803,3,B_cell
CELL_00804,3,B_cell
CELL_00805,3,B_cell
CELL_00806,3,B_cell
CELL_00807,3,B_cell
CELL_00808,3,B_cell
CELL_00809,3,B_cell
CELL_00810,3,B_cell
CELL_00811,3,B_cell
CELL_00812,3,B_cell
CELL_00813,3,B_cell
CELL_00814,3,B_cell
CELL_00815,3,B_cell
CELL_00816,3,B_cell
